Manuscript H-ID	Manuscript Record Title	repository_key (Organisation) H-ID	Organisation Record Title	repository_key (Organisation) Record Title	idno	TEI_id	CMD	fichier_source	CMD_Vol_ar	CMD_Vol
133452	Chantilly, Bibliothèque et archives du musée Condé, 102 - 1398	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	102	d1e20650	A	modified_CMDF_1enr.xml	1	I
139874	Chantilly, Bibliothèque et archives du musée Condé, 118-119 - 1328-1329	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	118-119	d1e20784	A	modified_CMDF_1enr.xml	1	I
138125	Chantilly, Bibliothèque et archives du musée Condé, 120 - 1006	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	120	d1e20901	A	modified_CMDF_1enr.xml	1	I
129715	Chantilly, Bibliothèque et archives du musée Condé, 121 - 607	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	121	d1e20995	A	modified_CMDF_1enr.xml	1	I
139046	Chantilly, Bibliothèque et archives du musée Condé, 122 - 322	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	122	d1e21103	A	modified_CMDF_1enr.xml	1	I
142651	Chantilly, Bibliothèque et archives du musée Condé, 123 - 323	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	123	d1e132443	X	modified_CMDF_1enr.xml	1	I
139808	Chantilly, Bibliothèque et archives du musée Condé, 124 - 1070	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	124	d1e21224	A	modified_CMDF_1enr.xml	1	I
136740	Chantilly, Bibliothèque et archives du musée Condé, 127 - 628	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	127	d1e96927	B	modified_CMDF_1enr.xml	1	I
138083	Chantilly, Bibliothèque et archives du musée Condé, 1270 - 1060	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	1270	d1e35561	A	modified_CMDF_1enr.xml	1	I
140078	Chantilly, Bibliothèque et archives du musée Condé, 129 - 645	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	129	d1e97026	B	modified_CMDF_1enr.xml	1	I
134221	Chantilly, Bibliothèque et archives du musée Condé, 130 - 526	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	130	d1e21329	A	modified_CMDF_1enr.xml	1	I
133453	Chantilly, Bibliothèque et archives du musée Condé, 133 - 899	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	133	d1e21436	A	modified_CMDF_1enr.xml	1	I
142563	Chantilly, Bibliothèque et archives du musée Condé, 1337 - 541	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	1337	d1e133541	X	modified_CMDF_1enr.xml	1	I
140196	Chantilly, Bibliothèque et archives du musée Condé, 136 - 649	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	136	d1e97108	B	modified_CMDF_1enr.xml	1	I
136745	Chantilly, Bibliothèque et archives du musée Condé, 1375 - 719	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	1375	d1e100580	B	modified_CMDF_1enr.xml	1	I
140537	Chantilly, Bibliothèque et archives du musée Condé, 1376 - 1256	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	1376	d1e35655	A	modified_CMDF_1enr.xml	1	I
137671	Chantilly, Bibliothèque et archives du musée Condé, 138 - 636	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	138	d1e21537	A	modified_CMDF_1enr.xml	1	I
138179	Chantilly, Bibliothèque et archives du musée Condé, 1383 - 1577	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	1383	d1e35750	A	modified_CMDF_1enr.xml	1	I
142762	Chantilly, Bibliothèque et archives du musée Condé, 140 - 699	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	140	d1e132482	X	modified_CMDF_1enr.xml	1	I
139244	Chantilly, Bibliothèque et archives du musée Condé, 142 - 534	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	142	d1e21956	A	modified_CMDF_1enr.xml	1	I
139493	Chantilly, Bibliothèque et archives du musée Condé, 143 - 634	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	143	d1e22044	A	modified_CMDF_1enr.xml	1	I
137737	Chantilly, Bibliothèque et archives du musée Condé, 147 - 1540	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	147	d1e97196	B	modified_CMDF_1enr.xml	1	I
140601	Chantilly, Bibliothèque et archives du musée Condé, 1476 - 1943	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	1476	d1e35859	A	modified_CMDF_1enr.xml	1	I
136426	Chantilly, Bibliothèque et archives du musée Condé, 1477 - 1944	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	1477	d1e100664	B	modified_CMDF_1enr.xml	1	I
138126	Chantilly, Bibliothèque et archives du musée Condé, 1478 - 1945	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	1478	d1e35963	A	modified_CMDF_1enr.xml	1	I
