"Manuscript H-ID"	"Manuscript Record Title"	"repository_key (Organisation) H-ID"	"Organisation Record Title"	"repository_key (Organisation) Record Title"	idno	TEI_id	CMD
128740	"Montpellier, Bibliothèque municipale, H 13"	146543	"Montpellier, Bibliothèque municipale"	"Montpellier, Bibliothèque municipale"	"H 13"	d1e103015	B
128741	"Montpellier, Bibliothèque municipale, H 22"	146543	"Montpellier, Bibliothèque municipale"	"Montpellier, Bibliothèque municipale"	"H 22"	d1e72041	A
128742	"Charleville-Mézières, Bibliothèque municipale, 87"	146474	"Charleville-Mézières, Bibliothèque municipale"	"Charleville-Mézières, Bibliothèque municipale"	87	d1e49061	A
128743	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12614"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12614"	d1e128848	B
128744	"Troyes, Médiathèque du Grand Troyes, 1752"	128675	"Troyes, Médiathèque du Grand Troyes"	"Troyes, Médiathèque du Grand Troyes"	1752	d1e148645	B
128745	"Troyes, Médiathèque du Grand Troyes, 2273"	128675	"Troyes, Médiathèque du Grand Troyes"	"Troyes, Médiathèque du Grand Troyes"	2273	d1e149382	B
128746	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 1654"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 1654"	d1e25778	A
128747	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 3295"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 3295"	d1e36862	A
128748	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 3786"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 3786"	d1e41454	A
128749	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 3786"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 3786"	d1e41549	A
128750	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 11577"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 11577"	d1e70304	A
128751	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 11590"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 11590"	d1e70854	A
128752	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 11738"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 11738"	d1e71529	A
128753	"Charleville-Mézières, Bibliothèque municipale, 89"	146474	"Charleville-Mézières, Bibliothèque municipale"	"Charleville-Mézières, Bibliothèque municipale"	89	d1e49172	A
128754	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12039"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12039"	c3d1e73035	A
128755	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12041"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12041"	d1e73133	A
128756	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12054"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12054"	d1e73421	A
128757	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12072"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12072"	d1e73614	A
128758	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12219"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12219"	d1e74474	A
128759	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12268"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12268"	d1e74816	A
128760	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12422"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12422"	d1e75837	A
128761	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12423"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12423"	d1e75938	A
128762	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12424"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12424"	d1e76039	A
128763	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12495"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12495"	d1e76417	A
128764	"Charleville-Mézières, Bibliothèque municipale, 118"	146474	"Charleville-Mézières, Bibliothèque municipale"	"Charleville-Mézières, Bibliothèque municipale"	118	d1e49617	A
128765	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12609"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12609"	d1e77105	A
128766	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 13247"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 13247"	d1e80094	A
128767	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 14907"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 14907"	d1e88538	A
128768	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 10501"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 10501"	d1e122233	B
128769	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 10501"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 10501"	d1e122999	B
128770	"Paris, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 763"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"nouv. acq. lat. 763"	d1e61394	B
128771	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 11102"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 11102"	d1e67007	A
128772	"Tours, Bibliothèque municipale, 313"	146630	"Tours, Bibliothèque municipale"	"Tours, Bibliothèque municipale"	313	d1e123367	B
128773	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 15614"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 15614"	d1e142191	B
128774	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 9889"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 9889"	d1e55525	A
128775	"Charleville-Mézières, Bibliothèque municipale, 148"	146474	"Charleville-Mézières, Bibliothèque municipale"	"Charleville-Mézières, Bibliothèque municipale"	148	d1e49856	A
128776	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 11589"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 11589"	d1e70752	A
128777	"Angers, Bibliothèque municipale, 115 - 107"	146416	"Angers, Bibliothèque municipale"	"Angers, Bibliothèque municipale"	115	d1e87730	B
128778	"Rennes, Bibliothèque municipale, 271"	146595	"Rennes, Bibliothèque municipale"	"Rennes, Bibliothèque municipale"	271	d1e62777	A
128779	"Paris, Bibliothèque Mazarine, 870 - Ms 809"	146570	"Paris, Bibliothèque Mazarine"	"Paris, Bibliothèque Mazarine"	870	d1e72734	A
128780	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 1978"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 1978"	d1e28541	A
128781	"Orléans, Médiathèque, 721 - Ms. 56"	146561	"Orléans, Médiathèque"	"Orléans, Médiathèque"	721	d1e110687	B
128782	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 15679"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 15679"	d1e142511	B
128783	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 1862"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 1862"	c2d1e27534	A
128784	"Paris, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 1572"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"nouv. acq. lat. 1572"	d1e65409	B
128785	"Avranches, Bibliothèque municipale, 32"	146434	"Avranches, Bibliothèque municipale"	"Avranches, Bibliothèque municipale"	32	d1e92125	B
128786	"Charleville-Mézières, Bibliothèque municipale, 233"	146474	"Charleville-Mézières, Bibliothèque municipale"	"Charleville-Mézières, Bibliothèque municipale"	233	d1e52315	A
128787	"Perpignan, Bibliothèque municipale, 3"	146589	"Perpignan, Bibliothèque municipale"	"Perpignan, Bibliothèque municipale"	3	c6d1e73830	A
